name-version.extension*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
aaepsv-client-3.7.0.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
activation-1.1.1.jar,CDDL-1.0,Copyright non presente,,,Java,,,
activation-1.1.jar,CDDL-1.0,Copyright non presente,,,Java,,,
aopalliance-repackaged-2.5.0-b32.jar,"CDDL-1.1, GPL-2.0",Copyright non presente,,,Java,,,
apache-mime4j-0.6.jar,Apache-2.0,Copyright non presente,,,Java,,,
batik-css-1.14.jar,Apache-2.0,Copyright non presente,,,Java,,,
batik-svg-dom-1.9.jar,Apache-2.0,Copyright non presente,,,Java,,,
batik-all-1.13.jar,"Apache-2.0",Copyright non presente,,,Java,,,
batik-ext-1.14.jar,"Apache-2.0",Copyright non presente,,,Java,,,
batik-svgpp-1.13.jar,"Apache-2.0",Copyright non presente,,,Java,,,
bcpkix-jdk15on-1.68.jar,"BouncyCastle License",Copyright non presente,,,Java,,,
bcprov-jdk15on-1.68.jar,"BouncyCastle License",Copyright non presente,,,Java,,,
cache-api-1.0.0.jar,Apache-2.0,Copyright non presente,,,Java,,,
checker-compat-qual-2.5.5.jar,"MIT, GPL-2.0",Copyright non presente,,,Java,,,
checker-qual-3.12.0.jar,"MIT",Copyright non presente,,,Java,,,
commons-beanutils-1.9.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-codec-1.6.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-collections-3.2.2.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-collections4-4.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-compress-1.20.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-io-2.1.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-io-1.3.1.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-lang-2.5.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-lang3-3.9.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-logging-1.1.3.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-math3-3.6.1.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-text-1.8.jar,Apache-2.0,Copyright non presente,,,Java,,,
csi-apachesoap-1.4.6.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
csi-core-1.4.6.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
csi-stadapter-1.4.6.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
curvesapi-1.06.jar,BSD LICENSE,Copyright non presente,,,Java,,,
error_prone_annotations-2.7.1.jar,"Apache-2.0",Copyright non presente,,,Java,,,
failureaccess-1.0.1.jar,"Apache-2.0",Copyright non presente,,,Java,,,
FastInfoset-1.2.12.jar,"Apache-2.0",Copyright non presente,,,Java,,,
fontbox-2.0.24.jar,Apache-2.0,Copyright non presente,,,Java,,,
graphics2d-0.30.jar,Apache-2.0,Copyright non presente,,,Java,,,
gson-2.8.1.jar,Apache-2.0,Google,,,Java,,,
